,Employee Name,ID,Gender,Age,Married,Role,Salary,Position,Absences,Projects_Completed,Mean Monthly Hours,Years in the company,Joining_Year,Current_Employ_Rating,Moral,Stress & Burnout Score,Ongoing_Project_Count,Projects_Within_Deadline,Project_Start_Date,Project_Description,Project_Difficulty,Project_Deadline,Manager_ID,Completion_Time
15,Shashwat Chatterjee,16,Male,31,Married,Backend Developer,"2,30,000",Senior,5,45,184,10,2013,7,High,2,6,23,15/8/2023,Develop customized features for backend production systems,Medium,10/8/2023,4,5
16,Kalpana Joshi,17,Female,62,Married,HR,"1,10,000",Senior,9,68,198,24,1994,5,High,3,5,12,26/8/2023,Coordinating career development and promotional opportunities to ensure fair treatment for all employees,Medium,4/10/2023,2,38
17,Shantanu Dhawan,18,Male,58,Married,Backend Developer,"2,50,000",Senior,9,65,150,25,2002,8,Moderate,3,4,50,25/7/2023,Develop automated software processes to ensure safety and reliability of data,High,10/8/2023,4,10
18,Abigail Jain,19,Female,34,Married,HR,"1,70,000",Senior,4,68,135,12,2009,8,High,3,3,18,25/7/2023,Designing a data analytics dashboard to track employee performance and suggest improvement actions,High,5/8/2023,2,6
19,Garv Sharma,20,Male,43,Married,Backend Developer,"2,80,000",Senior,8,68,202,18,2002,7,High,3,4,43,12/06/2023,Design and implement database structure for storing and retrieving user data,High,25/7/2023,4,41
20,Sarah Jacob,21,Female,28,Married,Backend Developer,"4,00,000",Senior,3,55,168,10,2013,9,Moderate,2,3,40,10/9/2023,Establish a secure payment system using cryptocurrency,High,15/9/2023,4,3
21,Anamika Gupta,22,Female,32,Married,HR,"1,50,000",Senior,3,15,181,6,2016,10,High,2,2,16,8/12/2023,Organize a team workshop to discuss skills such as communication and collaboration,Low,20/12/2023,2,8
22,Jacob Rodriguez,23,Male,56,Married,Backend Developer,"2,50,000",Senior,8,75,131,14,2008,10,Very High,4,2,72,24/8/2023,Develop a secure user registration and login system,High,9/11/2022,4,285
23,Sonia Dubey,24,Female,45,Married,HR,"2,00,000",Senior,1,23,268,17,2003,9,High,3,4,24,1/9/2023,Develop guidelines and procedures for proper employee recruitment and selection,Medium,4/9/2023,2,5
24,Aman Patel,25,Male,52,Married,Frontend Developer,"1,20,000",Senior,8,33,286,19,2001,10,Very High,4,4,17,1/6/2023,Design a product website for showcasing and selling products,High,15/7/2023,4,40
25,Monica Joshi,26,Female,32,Married,HR,"1,50,000",Senior,3,25,254,10,2013,8,High,1,3,8,14/10/2023,Develop a program to collect feedbacks from employees on their job satisfaction,High,30/11/2023,2,41
26,Pooja Rai,27,Female,29,Married,HR,"1,20,000",Senior,6,34,225,9,2012,8,High,3,1,16,13/11/2023,Coordinating training sessions for managers regarding HR policies and compliance practices,Medium,30/11/2023,2,15
27,Karishma Bajwa,28,Female,43,Married,HR,"1,20,000",Senior,7,22,253,8,2015,9,High,2,2,13,2/3/2024,Train the HR team on effective recruitment and onboarding and compliance practices,Medium,11/4/2024,2,42
28,Sanaya Pareek,29,Female,40,Married,Backend Developer,"3,20,000",Senior,5,55,295,18,2000,9,Very High,1,5,27,9/4/2023,Develop a secure user registration and login system,High,24/4/2023,4,11
29,Ranjan Gupta,30,Male,59,Married,Backend Developer,"4,50,000",Senior,7,69,222,25,1995,6,High,3,2,58,12/10/2023,Design and implement database structure for storing and retrieving user data,High,21/11/2023,4,37
30,John Miller,31,Male,53,Married,Backend Developer,"2,20,000",Senior,1,55,104,21,1999,7,High,2,3,25,12/1/2024,Improve the scalability and performance of the application,Medium,20/2/2024,4,39
31,Shabnam Gupta,32,Female,30,Married,HR,"1,20,000",Senior,8,29,199,6,2016,7,Moderate,4,2,14,6/10/2023,Analyze analysis of employee data to optimize productivity and morale,Medium,22/10/2023,2,20
32,Neeraj Jain,33,Male,24,Bachelor,Frontend Developer,"1,10,000",Junior,2,21,77,2,2021,7,High,2,3,7,5/10/2023,Create a simple and intuitive user experience using HTML/CSS,Low,26/10/2023,3,17
33,Neha Desai,34,Female,29,Married,HR,"1,10,000",Senior,4,14,215,5,2018,9,High,2,3,16,28/8/2023,Conducting regular performance appraisals for the development team,Low,5/9/2023,2,6
34,Mark Jacob,35,Male,60,Married,Backend Developer,"3,00,000",Senior,4,62,208,20,1999,7,High,1,2,50,28/10/2023,Design and implement an efficient database structure for the company's customer data,High,10/11/2023,4,9
35,Neeraj Narayan,36,Male,45,Married,Backend Developer,"2,80,000",Senior,9,53,231,16,2005,8,High,1,3,32,14/11/2023,Develop an efficient query processing system with scalability,High,20/11/2023,4,3
36,Samir Gupta,37,Male,63,Married,Backend Developer,"3,00,000",Senior,1,40,173,16,2004,5,High,1,2,28,29/8/2023,Develop a secure user registration and login system,Medium,6/9/2023,4,10
37,Vijay Kumar,38,Male,33,Married,Frontend Developer,"1,80,000",Senior,0,26,154,7,2015,7,Very High,2,3,17,28/10/2023,Design a shopping cart feature set for the website and optimize the checkout process,Medium,13/11/2023,1,14
38,Ramit Verma,39,Male,30,Married,Backend Developer,"2,30,000",Senior,2,45,160,7,2018,8,High,1,1,43,11/10/2023,Design a secure user login system with multi factor authentication,High,2/11/2023,4,20
39,Vishal Sardesai,40,Male,56,Married,Backend Developer,"2,70,000",Senior,2,55,102,22,1998,5,Very High,3,3,45,23/6/2023,Develop and optimize an efficient database structure for storing and retrieving large volumes of data,High,8/10/2023,4,103
40,Shivani Shah,41,Female,32,Married,HR,"1,25,000",Senior,3,30,253,5,2018,10,High,4,1,22,8/9/2023,Planning and conducting workshops and seminars to ensure cohesive alignment with the organizational goals,Medium,15/10/2023,2,36
41,Vikram Roy,42,Male,32,Married,Frontend Developer,"1,15,000",Senior,4,25,192,8,2013,7,High,1,3,33,7/6/2023,Design an intuitive frontend with clear user flow for mobile users,Medium,22/6/2023,1,13
42,Rahul Mahajan,43,Male,37,Married,Frontend Developer,"1,50,000",Senior,3,19,219,10,2012,8,High,1,4,15,20/9/2023,Create and develop a functioning frontend page featuring AI productivity tools,Low,25/9/2023,1,3
43,Aishwarya Jain,44,Female,34,Married,Frontend Developer,"1,80,000",Senior,9,39,123,11,2010,7,High,2,2,23,17/4/2023,Implement navigation features and refine user interface design of the website,Medium,24/4/2023,1,8
44,Sonal Desai,45,Female,32,Married,HR,"1,30,000",Senior,4,26,268,6,2015,7,High,4,4,14,15/7/2023,Design and finalize recruitment process to ensure an effective workflow,Medium,20/8/2023,2,37
45,Neelam Mehra,46,Female,30,Married,HR,"1,20,000",Junior,3,24,331,12,2009,9,High,2,1,11,5/10/2023,Analyzing company-wide sources of HR data to identify operational issues and craft solutions,Medium,18/10/2023,2,12
46,Anupam Patil,47,Male,32,Married,Backend Developer,"2,60,000",Senior,8,65,154,12,2009,9,Very High,3,4,25,11/7/2023,Improve existing server infrastructure for the website,High,22/7/2023,3,10
47,Jill Fernandes,48,Female,40,Married,Backend Developer,"3,50,000",Senior,5,61,284,15,2005,10,Very High,3,2,65,30/13/2023,Develop a secure user registration and login system,High,10/15/2023,4,38
48,Sana Verma,49,Female,38,Married,Frontend Developer,"1,30,000",Senior,7,36,220,4,2019,9,High,3,2,25,8/10/2023,Build a mobile application for customer engagement and feedback,High,15/9/2023,1,21
49,Sneha Rao,50,Female,31,Married,HR,"1,20,000",Senior,7,18,208,8,2013,7,High,2,2,23,19/10/2023,Organizing recruitment drives for the development teams in the upcoming months,Medium,25/11/2023,3,40
50,Ankur Bhatia,51,Male,32,Married,Backend Developer,"2,25,000",Senior,10,64,201,15,2007,7,High,2,4,40,20/9/2023,Create a secure system for data validation and interpretation of the results,High,9/10/2023,4,18
51,Seema Srivastava,52,Female,56,Married,HR,"3,50,000",Senior,8,19,175,16,1995,7,High,1,2,6,2/8/2024,Designing and establishing an end-to-end onboarding process for new employees,High,24/8/2024,2,17
52,Arihant Jain,53,Male,32,Married,Backend Developer,"3,45,000",Senior,5,42,142,11,2009,6,High,2,1,42,20/9/2023,Design and implement database structure for storing and retrieving user data,High,15/9/2023,4,0
53,Nidhi Murthy,54,Female,39,Married,HR,"1,20,000",Senior,4,40,241,14,2008,9,High,1,2,25,8/8/2023,Plan and coordinate activities related to personnel search and recruitment,Medium,25/9/2023,2,51
54,Ria Singh,55,Female,24,Bachelor,HR,"1,15,000",Senior,1,22,254,2,2021,8,Moderate,3,5,10,27/9/2023,Analyzing customer satisfaction data and providing strategies for improving customer service,Medium,1/11/2023,2,35
55,Jatin Verma,56,Male,43,Married,Backend Developer,"6,15,000",Senior,9,66,210,16,2004,6,Very High,4,2,53,12/11/2023,Develop an end-to-end machine learning pipeline and deploy it in production,High,6/12/2023,4,22
56,Pooja Bhatia,57,Female,36,Married,HR,"1,25,000",Senior,2,36,180,8,2013,5,Moderate,1,3,13,6/10/2023,Developing employee engagement initiatives and programs to ensure healthy workplace morale,Medium,15/10/2023,2,10
57,Navin Singh,58,Male,30,Married,HR,"1,50,000",Senior,4,24,237,5,2018,8,High,2,3,20,20/11/2023,Develop a system to train and recognize workplace behavior and potential violations for corrective action,Medium,1/12/2023,2,15
58,Neha Shinde,59,Female,42,Married,HR,"2,30,000",Senior,3,74,158,15,2008,9,Very High,2,1,25,8/5/2023,Offering feedback and guidance to team members regarding their progress and development,Medium,28/7/2023,2,80
59,Rohit Sanghvi,60,Male,43,Married,Backend Developer,"2,80,000",Senior,2,54,166,10,2013,7,High,1,3,39,7/10/2023,Design and develop a platform for the automated monitoring and alert system for data accuracy,Medium,24/10/2023,4,17
60,Yash Jindal,61,Male,28,Married,R&D,"1,50,000",Senior,6,55,194,8,2015,8,High,1,4,20,25/8/2023,Develop an application that utilizes automation for testing user interfaces,Medium,19/10/2023,5,58
61,Vidhi Jain,62,Female,30,Married,HR,"1,20,000",Senior,4,19,180,7,2018,7,Moderate,4,2,11,1/7/2023,Train new employees on the company policies and procedures,Low,21/7/2023,2,16
62,John Smith,63,Male,62,Married,Backend Developer,"3,50,000",Senior,4,58,180,14,2007,8,Very High,2,3,50,1/4/2023,Develop a platform for automating the user authentication process,Medium,15/6/2023,4,77
63,Prayag Savla,64,Male,32,Married,Backend Developer,"3,00,000",Senior,7,59,181,12,2009,10,Very High,4,4,62,19/8/2023,Develop a secure encryption system for protecting sensitive user data,High,12/9/2023,4,19
64,Sara Johnson,65,Female,29,Married,HR,"1,50,000",Senior,4,21,197,8,2018,7,High,4,2,14,25/11/2023,Plan and implement a comprehensive HR strategy to increase employee productivity,Medium,17/12/2023,2,22
65,Ravinder Mathur,66,Male,35,Married,Frontend Developer,"1,50,000",Senior,7,45,217,12,2010,10,Very High,3,3,25,15/5/2023,Design the user interface and user experience to ensure easy navigation and usage,High,12/6/2023,1,23
66,John Smith,63,Male,30,Married,Frontend Developer,"1,45,000",Senior,3,29,144,5,2018,9,High,2,1,26,15/9/2023,Design and develop mobile applications for improved user experience,Medium,20/10/2023,1,35
67,Jyoti Roy,67,Female,42,Married,HR,"1,80,000",Senior,7,41,208,11,2011,9,Moderate,2,3,28,20/11/2023,Develop a training metrics dashboard to measure the progress of onboarding trainees,Medium,13/12/2023,2,27
68,Anjali Gupta,68,Female,49,Married,HR,"2,75,000",Senior,8,75,245,17,2003,4,Low,2,4,42,29/4/2023,Develop a system for evaluating employee performance and assigning bonus rewards accordingly,Low,19/5/2023,2,17
69,Ankush Gupta,69,Male,51,Married,R&D,"1,60,000",Senior,7,58,122,16,2005,7,Low,3,4,5,20/12/2023,Investigate the implications of introducing an AI-powered scheduling system for staff,High,10/1/2024,5,23
70,Geetika Sharma,70,Female,29,Married,Frontend Developer,"2,00,000",Senior,7,67,188,5,2015,7,High,2,3,16,8/3/2023,Develop a secure content management system,Medium,1/4/2023,1,25
71,Nirav Desai,71,Male,61,Married,Backend Developer,"4,00,000",Senior,3,75,259,15,1997,10,High,1,1,62,4/9/2024,Design and develop custom software for a manufacturing control system,High,21/10/2024,4,45
72,Kirti Bajaj,72,Female,30,Married,HR,"1,00,000",Senior,8,20,246,4,2019,9,Moderate,3,1,6,17/7/2023,Administer company policies to ensure compliance and healthy working environment,Low,20/9/2023,2,58
73,Anusha Jaipuria,73,Female,34,Married,Backend Developer,"2,30,000",Senior,5,64,159,15,2005,8,Very High,4,7,46,30/11/2023,Design an algorithm to detect user fraud,High,10/12/2023,4,8
74,Manik Dawar,74,Female,40,Married,Backend Developer,"2,75,000",Senior,6,67,150,10,2011,7,High,1,4,40,9/9/2023,Develop a secure user registration and login system,High,15/9/2023,4,5
75,Nikita Mathur,75,Female,24,Bachelor,Backend Developer,"1,80,000",Junior,3,20,177,1,2022,8,Low,5,4,12,7/9/2023,Design efficient algorithms for data retrieval tasks,High,1/10/2023,4,21
76,Kritika Mathur,76,Female,34,Married,HR,"1,35,000",Senior,6,32,241,10,2013,7,Moderate,4,4,15,15/5/2023,Recruiting and onboarding personnel for specialized roles,Medium,22/6/2023,5,39
77,Kartik Verma,77,Male,30,Married,Backend Developer,"2,50,000",Senior,5,51,170,9,2013,7,High,3,3,40,11/11/2023,Develop and integrate user authentication methods for a seamless user experience,High,20/12/2023,4,38
78,Janvi Arya,78,Female,35,Married,HR,"1,50,000",Senior,5,23,156,12,2008,9,High,2,4,15,4/1/2024,Evaluate the training program effectiveness and recommend improvements,Medium,22/1/2024,2,18
79,Arshdeep Sharma,79,Male,34,Married,HR,"1,20,000",Senior,2,24,208,11,2011,9,High,2,2,22,6/10/2023,Monitor work performance of the team members and guide them for proper work delegation,Low,15/10/2023,5,5
80,Amey Jain,80,Male,42,Married,Backend Developer,"3,50,000",Senior,6,73,150,12,2008,6,Very High,4,5,27,23/11/2023,Develop a powerful search engine with algorithms to provide targeted results,High,5/12/2023,4,7
81,Ananya Bhat,81,Female,44,Married,HR,"2,10,000",Senior,3,55,164,16,2002,7,High,4,4,23,7/10/2023,Compile data from employee surveys and further analyze the results for necessary changes for improved productivity,Low,17/10/2023,1,8
82,Rashmi Singh,82,Female,37,Married,HR,"1,75,000",Senior,5,22,241,14,2009,9,High,2,2,18,25/7/2023,Arrange team meetings for learning and development and manage the employee database,Medium,31/8/2023,2,38
83,Prateek Sidhwani,83,Male,39,Married,Backend Developer,"3,50,000",Senior,10,72,155,13,2008,6,High,2,1,37,10/6/2023,Design the administrative back-end interface,High,3/7/2023,4,19
84,Karan Doshi,84,Male,34,Married,Frontend Developer,"1,35,000",Junior,2,33,182,7,2016,7,High,2,1,25,21/4/2023,"Optimize the application for cross platform usage (Web, Mobile and Desktop)",Medium,8/5/2023,1,20
85,Riya Raj,85,Female,24,Bachelor,HR,"1,20,000",Junior,8,16,191,1,2023,7,High,3,4,10,18/8/2023,Recruiting and interviewing potential candidates for open positions,Medium,30/8/2023,2,11
86,Mansee Mehta,86,Female,24,Bachelor,Frontend Developer,"1,40,000",Senior,1,7,189,4,2019,6,Very High,4,2,20,30/7/2023,Design and implement a user feedback system for feature requests and bug reports,Medium,15/8/2023,1,16
87,Tanya Gupta,87,Female,28,Married,Frontend Developer,"1,85,000",Senior,2,31,149,7,2020,9,High,4,2,25,8/9/2023,Develop the user interface ensuring compatibility with devices from multiple vendors,Medium,31/9/2023,1,25
88,Dhruv Jha,88,Male,54,Married,Backend Developer,"3,60,000",Senior,10,98,40,31,1989,4,Low,5,5,30,24/9/2023,Design and implement an automated workflow for analytics,Low,15/12/2023,3,76
89,Tia Sinha,89,Female,28,Married,HR,"1,10,000",Junior,3,20,310,4,2020,7,High,1,3,15,19/9/2023,Design and implement an intervention plan for enhancing employee retention,Medium,8/10/2023,2,22
90,Hemant Yadav,90,Male,28,Married,Backend Developer,"2,25,000",Senior,8,78,162,7,2015,10,Very High,2,3,40,25/10/2023,Design the overall system architecture for mobile client-server application,High,27/11/2023,4,29
91,Harshika Prakash,91,Female,52,Married,HR,"1,70,000",Senior,6,24,261,18,2004,7,High,2,0,15,1/7/2023,Supporting the recruitment of new team members,Medium,11/8/2023,2,44
92,Shilpa Rai,92,Female,34,Married,HR,"1,30,000",Senior,6,54,164,10,2010,8,High,2,1,22,1/7/2023,Analyze and solve customer complaints and inquiries,Low,10/7/2023,2,7
93,Rajeev Mehra,93,Male,31,Married,Backend Developer,"3,00,000",Senior,2,48,150,11,2011,9,Very High,2,3,35,20/9/2023,Develop efficient APIs to provide improved accessibility and scalability,High,30/11/2022,4,294
94,Kavya Choudhary,94,Female,43,Married,Backend Developer,"2,30,000",Senior,7,45,148,15,2004,9,Very High,4,3,58,4/10/2023,Develop infrastructure for automating delivery of persistent data and store server logs,High,15/10/2023,4,6
95,Rajeev Saini,95,Male,30,Married,Frontend Developer,"1,20,000",Senior,3,45,253,8,2014,7,Moderate,2,3,32,26/1/2024,Create a frontend feature that tracks users activity and data on site usage,Medium,9/2/2024,1,13
96,Kajal Agarwal,96,Female,32,Married,R&D,"1,80,000",Senior,12,55,166,8,2019,9,Very High,4,4,6,14/11/2023,Conduct research on competitor websites offering productivity tools and analyse their features,High,31/11/2023,5,13
97,Ripu Kapoor,97,Male,32,Married,Backend Developer,"2,70,000",Senior,4,52,189,8,2013,7,High,2,1,40,9/5/2023,Develop an algorithm to detect fraudulent web traffic,High,20/9/2023,3,126
98,Neeraj Ahuja,98,Male,29,Married,Frontend Developer,"1,35,000",Senior,2,36,199,5,2016,7,Low,3,1,18,25/8/2023,Design the user interface and user experience to enable easy navigation for users and customers,Medium,5/10/2023,4,42
99,Neha Ahuja,99,Female,34,Married,R&D,"1,60,000",Senior,4,19,189,9,2012,8,Moderate,3,2,15,5/3/2023,Analyzing the usability of the current website and market research on the topics of customer preferences and latest web design trends,High,28/3/2023,5,21
100,Neelam Chopra,100,Female,31,Married,HR,"1,20,000",Junior,3,33,236,0,2022,8,High,4,2,11,15/12/2023,Survey the demography of target customers for the latest project,Low,15/6/2024,2,184
101,Anita Patel,101,Female,58,Married,HR,"1,70,000",Senior,8,56,228,25,1995,4,High,1,5,10,28/11/2023,Designing and delivering short term mentoring programs to employees for better team bonding,Medium,8/12/2023,2,14
102,Kunal Sharma,102,Male,49,Married,Backend Developer,"5,50,000",Senior,3,61,197,18,2003,9,Very High,2,5,40,25/11/2023,Design a system architecture with access control and authentication,High,12/12/2023,4,16
103,Neelam Desai,103,Female,30,Married,Frontend Developer,"1,35,000",Senior,4,24,188,4,2019,7,High,1,2,25,3/7/2023,Design the user interface and user experience to ensure easy navigation and usage,Low,10/9/2023,1,63
104,Krishna Sinha,104,Male,34,Married,Backend Developer,"2,35,000",Senior,6,58,165,8,2013,7,High,1,6,27,10/7/2023,Design & Iterate a User Friendly Search & Filter Feature,High,17/9/2023,4,62
105,Garima Sharma,105,Female,35,Married,HR,"1,20,000",Senior,7,24,277,8,2015,9,Moderate,4,1,15,24/8/2023,"Coordinate team meetings, training and manage conflict resolution within the organization",Medium,28/10/2023,2,66
106,Neha Gupta,106,Female,28,Married,HR,"1,90,000",Senior,6,66,238,5,2019,8,Very High,3,4,11,14/5/2023,Lead the recruitment process to find and onboard new employees,High,20/5/2023,2,5
107,Vinayak Verma,107,Male,35,Married,Backend Developer,"2,25,000",Senior,1,73,136,15,2005,10,High,3,5,28,9/2/2024,Develop a complex system for storing and retrieving confidential data,High,15/5/2024,4,93
108,Kritika Khullar,108,Female,25,Bachelor,Frontend Developer,"1,05,000",Junior,5,18,230,4,2019,9,Low,4,4,22,20/9/2023,Design and develop a product which is both visually appealing and feature-rich,High,10/10/2023,1,15
109,Nirmal Mathur,109,Male,36,Married,Backend Developer,"2,50,000",Senior,2,42,220,11,2011,8,High,2,3,16,11/11/2023,Design and implement an authentication system that allows permission sought users to view and manage sensitive data,High,21/11/2023,4,8
110,Sadia Sheikh,110,Female,41,Married,HR,"1,20,000",Senior,8,25,220,17,2003,7,Moderate,2,3,19,11/10/2024,Partner with the marketing team to develop strategies for a promotional campaign for a new product launch,Medium,25/10/2025,2,378
111,Aditya Rai,111,Male,42,Married,Backend Developer,"2,40,000",Senior,7,71,239,14,2009,9,High,3,3,45,1/4/2024,Develop APIs for the existing web application and integrate with database,Medium,30/4/2024,4,33
112,Jasmine Jha,112,Female,51,Married,HR,"1,50,000",Senior,8,25,303,18,2002,6,Low,2,5,22,20/7/2023,Create an onboarding plan for new hires to ensure they acclimate quickly and successfully,Low,15/7/2023,2,0
113,Jonnie Smith,113,Male,62,Married,Backend Developer,"4,75,000",Senior,4,68,165,25,1995,3,Moderate,3,5,63,1/7/2022,Develop a secure registration and complex authentication system customized to user preferences,High,25/7/2022,4,21
114,Aditya Chaudhary,114,Male,28,Married,Frontend Developer,"1,30,000",Senior,2,29,175,4,2019,7,Moderate,2,2,20,23/7/2023,Consolidate the web development technologies and prominence of AI,High,8/8/2023,1,10
115,Pratik Jain,115,Male,62,Married,HR,"3,50,000",Senior,7,59,151,25,1995,6,High,1,1,39,1/1/2023,Create a communication system to ensure seamless communication between customers staff and management,Medium,6/2/2023,5,38
116,Viraj Mehta,116,Male,29,Married,Frontend Developer,"1,50,000",Senior,5,23,195,4,2018,9,Very High,3,2,28,3/5/2023,Design an intuitive UI for a client website using HTML and CSS,Medium,20/5/2024,1,380
117,John Smith,63,Male,43,Married,Backend Developer,"2,70,000",Senior,5,54,211,12,2008,5,High,1,4,58,20/10/2023,Develop secure authentication protocols for user login,High,29/10/2023,4,5
118,Pooja Sharma,117,Female,22,Bachelor,Backend Developer,"2,00,000",Junior,1,33,190,4,2023,7,Moderate,1,0,20,15/10/2023,Develop a centralized user authentication and encryption system to protect customer data,High,30/11/2023,4,42
119,Raj Mehta,118,Male,44,Married,Backend Developer,"2,50,000",Senior,4,58,186,20,2000,7,High,1,2,64,20/10/2023,Handle the backend infrastructure of the website to ensure high speed at peak hours,Medium,3/11/2023,4,14
120,Riya Jain,119,Female,37,Married,HR,"1,50,000",Senior,5,32,225,22,1999,10,Moderate,2,1,17,20/10/2023,Coordinating training sessions for the development team regarding the latest AI technologies and web development practices,Medium,15/11/2022,2,341
121,Mukund Mehta,120,Male,44,Married,Backend Developer,"5,25,000",Senior,8,65,212,11,2002,5,Low,2,4,55,21/9/2023,Design and develop an AI-powered application with an intuitive UI and UX,High,18/11/2023,4,52
122,Karan Gupta,121,Male,38,Married,Backend Developer,"2,40,000",Senior,6,59,210,18,2001,7,High,2,3,40,27/7/2023,Develop an update system to detect when new software patches are released,High,20/8/2023,4,18
123,Reena Jumar,122,Female,22,Bachelor,HR,"85,000",Junior,0,11,154,0,2021,7,High,4,2,10,8/10/2023,Design and implement effective recruitment strategies for the Development team,Medium,15/11/2023,2,39
124,Kabir Jain,123,Male,60,Married,Frontend Developer,"1,50,000",Senior,5,28,132,30,1990,4,Low,2,0,20,20/5/2023,Implement a graphical user interface design that works across devices,Medium,10/7/2023,3,51
125,Sunny Mehta,124,Male,27,Married,Frontend Developer,"1,25,000",Senior,5,30,191,8,2018,7,High,4,3,25,2/9/2023,Design the user interface and user experience to ensure easy navigation and usage,Medium,10/10/2023,1,36
126,Raj Singh,125,Male,33,Married,Backend Developer,"2,47,000",Senior,5,50,192,10,2012,9,Very High,4,5,53,2/8/2023,Design and develop automated processes to monitor and analyze the influx of new customers,High,10/9/2023,4,36
127,Arshita Gupta,126,Female,43,Married,HR,"1,40,000",Senior,8,58,350,16,2004,10,High,5,3,12,10/4/2024,Manage and improve employee relations by facilitating effective communication and team building initiatives,High,15/5/2025,2,396
128,Riya Das,127,Female,33,Married,HR,"1,50,000",Senior,10,78,189,8,2013,7,High,2,3,21,22/4/2023,Organise regular wellness programmes for employees in order to reduce work-related fatigue andburnout,Medium,28/4/2023,2,8
129,Vivian Parikh,128,Female,34,Married,HR,"1,50,000",Senior,6,23,169,7,2018,9,High,1,3,11,13/12/2023,Designing & conducting surveys to assess employee morale and satisfaction,Medium,20/12/2023,2,10
130,Mayank Shukla,129,Male,45,Married,Backend Developer,"3,00,000",Senior,3,45,182,13,2010,9,Very High,4,4,46,23/11/2023,Develop financial software for a bank that should meet security standards,High,13/12/2023,4,19
131,Pandita Sharma,130,Female,22,Bachelor,HR,"90,000",Junior,2,10,181,1,2023,7,Moderate,4,2,10,1/5/2024,Plan and coordinate the management team’s labor tasks for the upcoming fiscal year,Medium,30/4/2024,2,-1
132,John Mehta,131,Male,30,Married,Backend Developer,"2,45,000",Senior,3,50,200,9,2012,7,High,3,12,40,08/11/2023,Develop a secure user registration and login system with automatic password resetting features,High,22/11/2023,4,12
133,Neha Pandey,132,Female,35,Married,HR,"1,50,000",Senior,6,45,218,10,2012,9,Moderate,1,1,4,11/9/2023,Plan and coordinate employee engagement activities,Medium,19/9/2023,2,8
